GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "00000","United States", ,SAGDP1,1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",11529157.0,12045824.0,12623361.0,13138035.0,13263417.0,13488357.0,13865519.0,14399696.0,14901269.0,15315943.0,15623871.0,15642962.0,15236262.0,15648991.0,15891534.0,16253970.0,16553348.0,16932051.0,17390295.0,17680274.0,18079084.0,18606787.0,19032672.0,18384687.0,19427287.0
 "00000","United States", ,SAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",70.931,74.110,77.663,80.830,81.601,82.985,85.305,88.592,91.678,94.229,96.123,96.241,93.739,96.278,97.770,100.000,101.842,104.172,106.991,108.775,111.229,114.475,117.096,113.109,119.523
 "00000","United States", ,SAGDP1,3,"...","Current-dollar GDP (millions of current dollars)","Millions of current dollars",8577552.0,9062817.0,9631172.0,10250952.0,10581929.0,10929108.0,11456450.0,12217196.0,13039197.0,13815583.0,14474228.0,14769862.0,14478067.0,15048970.0,15599731.0,16253970.0,16843196.0,17550687.0,18206023.0,18695106.0,19479623.0,20527159.0,21372582.0,20893746.0,22996086.0
 "00000","United States", ,SAGDP1,4,"...","Compensation (millions of dollars)","Millions of current dollars",4713220.0,5075701.0,5409937.0,5854634.0,6046346.0,6143370.0,6362298.0,6729306.0,7077722.0,7491260.0,7889371.0,8068682.0,7767191.0,7932970.0,8234017.0,8575362.0,8843637.0,9259654.0,9709535.0,9977096.0,10436745.0,10969807.0,11459449.0,11580088.0,(NA)
 "00000","United States", ,SAGDP1,5,"...","Gross operating surplus (millions of dollars)","Millions of current dollars",3286531.0,3384012.0,3592863.0,3733598.0,3866604.0,4067108.0,4337585.0,4666176.0,5079950.0,5378754.0,5602610.0,5703992.0,5742402.0,6108729.0,6321995.0,6600532.0,6870613.0,7108287.0,7278526.0,7468126.0,7736436.0,8158931.0,8453733.0,8540393.0,(NA)
 "00000","United States", ,SAGDP1,6,"...","Taxes on production and imports (TOPI) less subsides (millions of dollars)","Millions of current dollars",577806.0,603105.0,628376.0,662716.0,668981.0,718636.0,756561.0,821712.0,881527.0,945574.0,982247.0,997184.0,968472.0,1007267.0,1043717.0,1078079.0,1128942.0,1182741.0,1217959.0,1249888.0,1306439.0,1398417.0,1459390.0,773263.0,(NA)
 "00000","United States", ,SAGDP1,7,"..."," Taxes on production and imports (TOPI) (millions of dollars)","Millions of current dollars",611614.0,639472.0,673585.0,708556.0,727691.0,760032.0,805618.0,868099.0,942438.0,997041.0,1036831.0,1049741.0,1026820.0,1063075.0,1103725.0,1136117.0,1188662.0,1240830.0,1275152.0,1311635.0,1366313.0,1461735.0,1532342.0,1534651.0,(NA)
 "00000","United States", ,SAGDP1,8,"..."," Subsidies (millions of dollars)","Millions of current dollars",-33810.0,-36368.0,-45209.0,-45840.0,-58710.0,-41396.0,-49057.0,-46386.0,-60911.0,-51467.0,-54584.0,-52557.0,-58347.0,-55808.0,-60008.0,-58037.0,-59720.0,-58090.0,-57193.0,-61747.0,-59874.0,-63318.0,-72951.0,-761388.0,(NA)
 "01000","Alabama",5,SAGDP1,1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",144501.2,149568.2,154900.2,157221.3,156853.2,160422.4,165134.7,176625.0,184369.5,187270.8,189002.5,186946.7,180707.2,184702.4,187605.8,189245.5,191369.8,189886.3,191335.2,194283.8,197566.6,200800.9,203383.9,196906.1,204884.6
 "01000","Alabama",5,SAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",76.356,79.034,81.851,83.078,82.883,84.769,87.260,93.331,97.423,98.957,99.872,98.785,95.488,97.599,99.134,100.000,101.123,100.339,101.104,102.662,104.397,106.106,107.471,104.048,108.264
 "01000","Alabama",5,SAGDP1,3,"...","Current-dollar GDP (millions of current dollars)","Millions of current dollars",104811.9,110212.0,115680.1,119851.7,122915.5,127505.0,134152.6,147715.2,158846.8,166469.0,172975.2,174526.3,170930.9,177249.2,183916.6,189245.5,194786.9,197406.9,202372.4,207368.4,215085.9,224046.9,231171.8,226896.5,247092.5
 "01000","Alabama",5,SAGDP1,4,"...","Compensation (millions of dollars)","Millions of current dollars",61083.8,64168.6,67225.1,69764.4,72038.4,74152.3,77085.0,81588.9,86356.8,91148.0,95286.4,97634.2,95327.1,96804.0,98890.3,100372.5,102206.9,106036.8,110031.4,112854.1,116653.1,121648.4,126982.8,129730.7,(NA)
 "01000","Alabama",5,SAGDP1,5,"...","Gross operating surplus (millions of dollars)","Millions of current dollars",37247.9,39368.1,41513.7,42583.4,43348.6,45807.1,49100.6,57547.0,63137.0,65253.3,67296.6,66180.2,65444.5,69842.6,73907.4,77608.1,80918.0,79562.0,80669.9,82073.9,85542.6,88794.7,90113.8,90732.5,(NA)
 "01000","Alabama",5,SAGDP1,6,"...","Taxes on production and imports (TOPI) less subsides (millions of dollars)","Millions of current dollars",6480.3,6675.4,6941.3,7503.9,7528.5,7545.6,7967.0,8579.2,9353.0,10067.8,10392.2,10711.9,10159.3,10602.6,11118.9,11264.9,11662.0,11808.1,11671.1,12440.4,12890.3,13603.9,14075.3,6433.3,(NA)
 "01000","Alabama",5,SAGDP1,7,"..."," Taxes on production and imports (TOPI) (millions of dollars)","Millions of current dollars",6754.8,6968.3,7329.6,7868.6,8004.3,8050.2,8434.7,8995.7,9913.5,10571.3,10850.9,11143.1,10684.7,11066.7,11637.3,11769.2,12141.8,12298.5,12138.5,12988.7,13465.3,14093.5,14692.9,14791.2,(NA)
 "01000","Alabama",5,SAGDP1,8,"..."," Subsidies (millions of dollars)","Millions of current dollars",-274.5,-292.9,-388.4,-364.7,-475.8,-504.7,-467.7,-416.4,-560.5,-503.5,-458.7,-431.2,-525.4,-464.1,-518.4,-504.3,-479.8,-490.4,-467.4,-548.3,-575.0,-489.6,-617.6,-8358.0,(NA)
 "02000","Alaska",8,SAGDP1,1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",42211.3,41095.9,40590.5,39406.6,40958.7,42979.0,42355.3,44055.0,45657.1,49190.2,51721.0,51252.1,56215.1,54601.5,55280.3,58283.6,55354.3,54188.2,54740.8,54246.6,54129.5,53249.6,53336.5,50161.0,50300.3
 "02000","Alaska",8,SAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",72.424,70.510,69.643,67.612,70.275,73.741,72.671,75.587,78.336,84.398,88.740,87.936,96.451,93.682,94.847,100.000,94.974,92.973,93.921,93.074,92.873,91.363,91.512,86.064,86.303
